primary drawing number,detail drawing number,lenght(mm),width(mm),height(mm),number,weight(KG)
7.997.70.552.0,0.836.70.702.0-1,80,80,40,1,1.5
7.997.70.552.0,0.836.70.702.0-2,80,80,40,1,1.5
7.997.70.552.0,7.997.70.765.0,10400,1000,560,1,1255
7.997.70.552.0,17.044.273.40,4770,280,280,1,597
7.997.70.619.0,7.997.70.769.0-1,8200,740,540,1,946
7.997.70.619.0,7.997.70.769.0-2,8200,740,540,1,946
7.997.70.620.0,7.997.70.773.0,2800,330,330,1,228
7.997.70.623.0,0.886.70.728.0-1,4300,510,510,1,360
7.997.70.623.0,0.886.70.728.0-2,4300,510,510,1,360
7.997.70.623.0,7.952.70.567.0,2000,200,190,1,100
7.997.70.623.0,0.835.70.016.0,75,45,12,12,0.27
7.997.70.619.0,7.997.70.796.0-1,1000,220,220,1,43
7.997.70.619.0,7.997.70.796.0-2,1000,220,220,1,43
7.997.70.548.0,7.970.70.744.0,2830,170,170,1,89
7.997.70.558.0-2,,1900,410,120,1,24
7.997.70.755.0,17.044.168.40,2250,170,170,1,70
7.997.70.555.0,7.997.70.751.0,950,820,220,1,70
7.997.70.554.0-1,7.997.70.751.0,950,820,220,1,70
7.997.70.597.0,,950,820,220,1,87
7.997.70.595.0,7.997.70.781.0,720,900,170,1,42
7.997.70.751.0-2,,950,820,220,1,70
7.997.70.543.0,7.908.70.584.0,1070,610,280,1,93
7.997.70.609.0-2,,1500,600,170,1,45
7.947.70.210.0-2,,1400,1100,220,1,120
7.997.70.540.0,7.997.70.760.0,1700,700,220,1,93
7.997.70.605.0,7.988.70.714.0,1700,600,220,1,93
7.997.70.596.0,7.997.70.784.0,900,500,330,1,77
7.947.70.210.0-1,,1400,1100,220,1,120
7.997.70.538.0-1,,1900,600,170,1,77
7.997.70.599.0,7.947.70.210.0,1400,1100,2200,1,120
7.997.70.804.0,7.997.70.726.0,1000,800,180,1,56
7.997.70.604.0-3,7.079.70.535.0,1100,700,170,1,48
7.997.70.545.0,7.997.70.753.0,1000,900,170,1,51
7.997.70.539.0-1,7.997.70.753.0,1000,900,170,1,51
7.079.70.536.0-1,,400,1100,170,1,39
7.997.70.537.0,7.079.70.536.0,400,1100,170,1,39
7.997.70.537.0,7.000.50.717.0-2,150,50,50,1,1
7.997.70.541.0-2,,1100,500,170,1,53
7.997.70.541.0-3,,1100,500,170,1,53
7.997.70.663.0,,1300,340,340,1,45
7.997.70.564.0,7.997.70.742.0,1000,650,340,1,51
7.997.70.617.0,7.997.70.760.0,1700,700,220,1,93
7.997.70.779.0-1,,350,250,330,1,26
7.997.70.779.0-2,,350,250,330,1,26
7.997.70.541.0-1,,1100,500,170,1,53
7.997.70.541.0-4,,1100,500,170,1,53
7.997.70.599.0,7.000.50.518.0,200,51,51,2,0.6
7.997.70.599.0,7.000.50.793.0,300,120,100,2,5
7.997.70.593.0-1,,1200,420,450,1,53
7.997.70.609.0-1,,1450,600,170,1,45
7.997.70.615.0,0.004.71.731.0-2,350,250,220,1,18.5
7.997.70.534.0,0.004.70.951.0-1,410,120,130,1,3
0.004.70.951.0,,410,120,130,1,3
0.004.70.735.0,,340,340,320,1,22
7.997.70.615.0,0.004.71.731.0-1,350,250,220,1,18.5
7.997.70.534.0,0.004.70.951.0-2,410,120,130,1,3
7.997.70.594.0,,1400,300,300,1,81.5
0.004.70.961.0,,500,300,300,1,24
7.997.70.533.0,7.079.70.710.0,500,180,130,1,7
7.997.70.522.0-1,,800,300,220,1,16
7.997.70.522.0-2,,800,300,220,1,16
7.997.70.664.0,0.922.70.744.0,520,350,250,1,51
7.079.70.710.0-1,,500,180,130,1,7
7.997.70.801.0,7.997.70.764.0,840,990,240,1,63
7.997.70.805.0,7.997.70.764.0,840,990,240,1,63
7.997.70.556.0,7.997.70.764.0,840,990,240,1,63
7.997.70.803.0,7.997.70.764.0,840,990,240,1,63
7.997.70.549.0,7.997.70.764.0,840,990,240,1,63
7.997.70.549.0,7.997.70.763.0,1300,930,220,1,100
7.997.70.556.0,7.997.70.763.0,1300,930,220,1,100
7.997.70.806.0,7.997.70.764.0,840,990,240,1,63
7.079.70.536.0-5,,1100,380,200,1,39
7.997.70.808.0,7.997.70.738.0,1630,960,220,1,120
7.997.70.801.0,7.997.70.763.0,1300,930,220,1,100
7.997.70.604.0-2,7.079.70.535.0,1100,660,170,1,48
7.997.70.604.0-2,7.000.50.723.0,200,70,70,2,1.2
7.079.70.536.0-2,,1100,380,180,1,39
7.997.70.604.0-1,7.079.70.535.0,1100,660,170,1,48
7.997.70.539.0-3,7.997.70.753.0,980,900,170,1,51
7.997.70.539.0-2,7.997.70.753.0,980,900,170,1,51
7.997.70.553.0-2,,980,900,170,2,51
7.997.70.610.0,7.079.70.519.0,1100,500,200,1,54
7.997.70.808.0,0.885.70.707.0,510,250,250,1,14
7.079.70.536.0-3,,1100,380,170,1,39
7.997.70.539.0-1,7.000.50.717.0-1,150,50,50,1,1
7.997.70.539.0-1,7.000.50.717.0-2,150,50,50,1,1
7.997.70.539.0-1,7.000.50.717.0-3,150,50,50,1,1
7.997.70.539.0-1,7.000.50.717.0-4,150,50,50,1,1
7.997.70.539.0-2,7.000.50.717.0-1,150,50,50,1,1
7.997.70.539.0-2,7.000.50.717.0-2,150,50,50,1,1
7.997.70.539.0-2,7.000.50.717.0-3,150,50,50,1,1
7.997.70.539.0-2,7.000.50.717.0-4,150,50,50,1,1
7.997.70.539.0-3,7.000.50.717.0-1,150,50,50,1,1
7.997.70.539.0-3,7.000.50.717.0-2,150,50,50,1,1
7.997.70.539.0-3,7.000.50.717.0-3,150,50,50,1,1
7.997.70.539.0-3,7.000.50.717.0-4,150,50,50,1,1
7.970.70.735.0,,650,770,360,1,69
7.997.70.790.0,17.072.609.20,1000,610,610,1,197
7.997.70.780.0,,1230,650,460,1,134
7.997.70.802.0,0.873.70.706.0,1120,210,280,1,24
7.997.70.554.0-2,7.997.70.751.0,950,820,220,1,70
7.997.70.751.0-1,,950,820,220,1,70
7.997.70.607.0,7.997.70.724.0,800,220,210,1,36
7.997.70.785.0-1,,1000,280,300,1,55
7.997.70.785.0-2,,1000,280,300,1,55
7.997.70.607.0,7.970.70.717.0,350,120,55,2,5
7.997.70.593.0-2,,1140,450,420,1,53
7.997.70.531.0,7.980.70.605.0,500,430,170,1,27
7.997.70.530.0,7.980.70.605.0,500,430,170,1,27
7.997.70.530.0,7.000.50.717.0-1,150,50,50,1,1
7.997.70.530.0,7.000.50.717.0-2,150,50,50,1,1
7.997.70.557.0,,420,350,250,1,24
7.997.70.559.0-2,,420,350,250,1,53
7.079.70.536.0-4,,900,400,180,1,39
7.997.70.547.0-1,7.787.70.026.0,1100,500,170,1,44
7.997.70.547.0-2,7.787.70.026.0,1100,500,170,1,44
7.997.70.547.0-3,7.787.70.026.0,1100,500,170,1,44
7.997.70.592.0,7.787.70.026.0,1100,500,170,1,44
7.997.70.592.0,7.000.50.722.0,200,70,70,2,1.6
7.997.70.546.0-3,7.997.70.753.0,980,900,170,1,51
7.997.70.542.0,7.787.70.026.0,1100,500,170,1,44
7.997.70.542.0,7.000.50.717.0-1,150,50,50,1,1
7.997.70.542.0,7.000.50.717.0-2,150,50,50,1,1
